Estacao;Data;Hora;Evaporacao
83887;22/07/1995;0;1.3
83887;23/07/1995;0;2.2
83887;24/07/1995;0;4.1
83887;25/07/1995;0;5.2
83887;26/07/1995;0;8
83887;27/07/1995;0;7.7
83887;28/07/1995;0;7.9
83887;29/07/1995;0;7.3
83887;30/07/1995;0;4.2
83887;31/07/1995;0;2.4
83887;01/08/1995;0;1.4
83887;02/08/1995;0;5.2
83887;03/08/1995;0;8.2
83887;04/08/1995;0;3
83887;05/08/1995;0;1.2
83887;06/08/1995;0;5.1
83887;07/08/1995;0;2.3
83887;08/08/1995;0;7
83887;09/08/1995;0;2.5
83887;10/08/1995;0;5.7
83887;11/08/1995;0;1.6
83887;12/08/1995;0;2.8
83887;13/08/1995;0;3.6
83887;14/08/1995;0;7.5
83887;15/08/1995;0;9.8
83887;16/08/1995;0;3.8
83887;17/08/1995;0;0.7
83887;18/08/1995;0;1.4
83887;19/08/1995;0;0.3
83887;20/08/1995;0;1.7
83887;21/08/1995;0;2.5
83887;22/08/1995;0;2.3
83887;23/08/1995;0;4.2
83887;24/08/1995;0;6.8
83887;25/08/1995;0;6.4
83887;26/08/1995;0;6.3
83887;27/08/1995;0;7.5
83887;28/08/1995;0;8.3
83887;29/08/1995;0;8
83887;30/08/1995;0;7.5
83887;31/08/1995;0;6.7
83887;01/09/1995;0;7
83887;02/09/1995;0;9.2
83887;03/09/1995;0;3.2
83887;04/09/1995;0;3.5
83887;05/09/1995;0;5.4
83887;06/09/1995;0;5.8
83887;07/09/1995;0;6.8
83887;08/09/1995;0;8
83887;09/09/1995;0;8
83887;10/09/1995;0;10.6
83887;11/09/1995;0;11.1
83887;12/09/1995;0;3.4
83887;13/09/1995;0;5.4
83887;14/09/1995;0;2.9
83887;15/09/1995;0;1.2
83887;16/09/1995;0;1.8
83887;17/09/1995;0;5.7
83887;18/09/1995;0;5.5
83887;19/09/1995;0;3.5
83887;20/09/1995;0;3.5
83887;21/09/1995;0;3.4
83887;22/09/1995;0;4.3
83887;23/09/1995;0;1
83887;24/09/1995;0;0.7
83887;25/09/1995;0;0.7
83887;26/09/1995;0;2.6
83887;27/09/1995;0;0.7
83887;28/09/1995;0;1
83887;29/09/1995;0;1.4
83887;30/09/1995;0;3.7
83887;01/10/1995;0;1.4
83887;02/10/1995;0;1.4
83887;03/10/1995;0;1.8
83887;04/10/1995;0;4.4
83887;05/10/1995;0;1.2
83887;06/10/1995;0;1.5
83887;07/10/1995;0;3.3
83887;08/10/1995;0;1.5
83887;09/10/1995;0;1.9
83887;10/10/1995;0;4.8
83887;11/10/1995;0;5.3
83887;12/10/1995;0;4.6
83887;13/10/1995;0;6
83887;14/10/1995;0;0.6
83887;15/10/1995;0;4.8
83887;16/10/1995;0;4.2
83887;17/10/1995;0;4.2
83887;18/10/1995;0;4.8
83887;19/10/1995;0;3.2
83887;20/10/1995;0;3.3
83887;21/10/1995;0;2
83887;22/10/1995;0;2
83887;23/10/1995;0;4.5
83887;24/10/1995;0;5.3
83887;25/10/1995;0;10.7
83887;26/10/1995;0;8.2
83887;27/10/1995;0;5.3
83887;28/10/1995;0;0.5
83887;29/10/1995;0;2.7
83887;30/10/1995;0;5.5
83887;31/10/1995;0;4.8
83887;01/11/1995;0;6.7
83887;02/11/1995;0;8.5
83887;03/11/1995;0;7.5
83887;04/11/1995;0;6
83887;05/11/1995;0;6
83887;06/11/1995;0;7.5
83887;07/11/1995;0;5.9
83887;08/11/1995;0;7.7
83887;09/11/1995;0;6.6
83887;10/11/1995;0;7.1
83887;11/11/1995;0;2.4
83887;12/11/1995;0;4.2
83887;13/11/1995;0;4.1
83887;14/11/1995;0;2.5
83887;15/11/1995;0;2.4
83887;16/11/1995;0;3.6
83887;17/11/1995;0;3.2
83887;18/11/1995;0;5.3
83887;19/11/1995;0;4.5
83887;20/11/1995;0;7.4
83887;21/11/1995;0;7.5
83887;22/11/1995;0;5.4
83887;23/11/1995;0;3.9
83887;24/11/1995;0;1.8
83887;25/11/1995;0;4.1
83887;26/11/1995;0;5.5
83887;27/11/1995;0;5
83887;28/11/1995;0;3.8
83887;29/11/1995;0;4.9
83887;30/11/1995;0;6.5
83887;01/12/1995;0;8
83887;02/12/1995;0;6.5
83887;03/12/1995;0;6
83887;04/12/1995;0;2
83887;05/12/1995;0;5.3
83887;06/12/1995;0;7.1
83887;07/12/1995;0;8
83887;09/12/1995;0;4.2
83887;10/12/1995;0;7.8
83887;11/12/1995;0;4.6
83887;12/12/1995;0;2.5
83887;13/12/1995;0;5.7
83887;14/12/1995;0;6.7
83887;15/12/1995;0;8.7
83887;16/12/1995;0;7.9
83887;17/12/1995;0;9.6
83887;18/12/1995;0;8
83887;19/12/1995;0;5.2
83887;20/12/1995;0;4.8
83887;21/12/1995;0;6
83887;22/12/1995;0;6
83887;23/12/1995;0;5.1
83887;24/12/1995;0;3
83887;25/12/1995;0;4.1
83887;26/12/1995;0;3.4
83887;27/12/1995;0;2.2
83887;28/12/1995;0;2.4
83887;29/12/1995;0;2.8
83887;30/12/1995;0;7.2
83887;31/12/1995;0;5
83887;01/01/1996;0;6.8
83887;02/01/1996;0;8.4
83887;03/01/1996;0;7.2
83887;04/01/1996;0;6.3
83887;05/01/1996;0;3.4
83887;06/01/1996;0;2.6
83887;07/01/1996;0;4
83887;08/01/1996;0;4.2
83887;09/01/1996;0;2.6
83887;10/01/1996;0;3.6
83887;11/01/1996;0;5.6
83887;12/01/1996;0;5.2
83887;13/01/1996;0;2.3
83887;14/01/1996;0;3.3
83887;15/01/1996;0;2.2
83887;16/01/1996;0;3.3
83887;17/01/1996;0;0.2
83887;18/01/1996;0;0.5
83887;19/01/1996;0;2
83887;20/01/1996;0;3.1
83887;21/01/1996;0;2.8
83887;22/01/1996;0;1.1
83887;23/01/1996;0;1.2
83887;24/01/1996;0;3.8
83887;25/01/1996;0;3.2
83887;26/01/1996;0;3.4
83887;27/01/1996;0;4
83887;28/01/1996;0;1.4
